source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_>24h,0.02217342261323815,2.217342261323815,0.022255175037146618,-0.02144591892920408,0.06579276415568037,-2.144591892920408,6.579276415568038,0.99632658814087,0.3190914892555794,True,<=5m,alias_confirmed_ge10m,1.0,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_1,-0.029045827780215347,-2.9045827780215348,0.02140327646119998,-0.0709954787953212,0.012903823234890512,-7.099547879532119,1.2903823234890512,-1.3570738962733038,0.17475773175075845,True,0 recent ranked games,alias_confirmed_ge10m,0.912726022510163,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_2,-0.0309379170279794,-3.09379170279794,0.021603487782184513,-0.07327997502151212,0.011404140965553332,-7.327997502151212,1.140414096555333,-1.4320797336017472,0.15212100375169382,True,0 recent ranked games,alias_confirmed_ge10m,0.912726022510163,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_3,-0.01631568007862326,-1.631568007862326,0.022331010396353514,-0.060083656193865666,0.027452296036619146,-6.008365619386566,2.745229603661915,-0.7306288335832528,0.46500589527881536,True,0 recent ranked games,alias_confirmed_ge10m,1.0,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_4,-0.03386334718103952,-3.386334718103952,0.025405963363354364,-0.08365812036575818,0.015931426003679132,-8.365812036575818,1.5931426003679132,-1.3328897116290466,0.1825679993494341,True,0 recent ranked games,alias_confirmed_ge10m,0.912726022510163,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_5,0.002470080450514834,0.2470080450514834,0.02771322113995237,-0.05184683487938587,0.05678699578041554,-5.184683487938587,5.678699578041554,0.08913003789927104,0.9289785655972265,True,0 recent ranked games,alias_confirmed_ge10m,1.0,False,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_6+,-6.554523902823412e-05,-0.006554523902823412,0.026912337740517867,-0.052812757950221306,0.052681667472164836,-5.281275795022131,5.268166747216483,-0.0024355089349801257,0.9980567469442156,True,0 recent ranked games,alias_confirmed_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,-0.005332235424182343,-0.5332235424182343,0.006611369875172023,-0.01829028226799258,0.007625811419627895,-1.8290282267992581,0.7625811419627895,-0.8065250507624341,0.4199401697600113,True,session depth 1,authoritative_ge5m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.00428108182580148,0.428108182580148,0.007026290798916723,-0.00949019508498046,0.01805235873658342,-0.949019508498046,1.805235873658342,0.6092947115797591,0.5423291118003717,True,session depth 1,authoritative_ge5m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,-0.0034000938174450013,-0.3400093817445001,0.007765535866703016,-0.018620264436836946,0.011820076801946945,-1.8620264436836946,1.1820076801946946,-0.4378440684336915,0.6614993230092561,True,session depth 1,authoritative_ge5m,1.0,False,False
