source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05,primary_effect_pp,primary_ci_low_pp,primary_ci_high_pp,primary_p_holm,effect_difference_pp,same_sign_as_primary
NA,H3_recent_volume,adjusted,6h_window,recent_games_1,-0.029045827780215056,-2.9045827780215054,0.021403276461200122,-0.0709954787953212,0.01290382323489108,-7.099547879532119,1.290382323489108,-1.3570738962732811,0.1747577317507657,True,0 recent ranked games,alias_confirmed_ge10m,0.9127260225102604,False,False,-1.5106098955851965,-3.1274005294335967,0.10618073826320386,0.3839671466439022,-1.393972882436309,True
NA,H3_recent_volume,adjusted,6h_window,recent_games_2,-0.030937917027978556,-3.0937917027978554,0.021603487782184783,-0.07327997502151182,0.01140414096555471,-7.327997502151182,1.140414096555471,-1.4320797336016904,0.15212100375171006,True,0 recent ranked games,alias_confirmed_ge10m,0.9127260225102604,False,False,-1.5920393000679576,-3.2766896398305603,0.09261103969464488,0.3839671466439022,-1.5017524027298979,True
NA,H3_recent_volume,adjusted,6h_window,recent_games_3,-0.016315680078622868,-1.6315680078622867,0.02233101039635373,-0.0600836561938657,0.02745229603661996,-6.00836561938657,2.745229603661996,-0.7306288335832282,0.46500589527883035,True,0 recent ranked games,alias_confirmed_ge10m,1.0,False,False,-1.079063729680912,-2.810482973944635,0.6523555145828107,0.6781836045532726,-0.5525042781813747,True
NA,H3_recent_volume,adjusted,6h_window,recent_games_4,-0.03386334718103937,-3.3863347181039374,0.02540596336335459,-0.08365812036575847,0.01593142600367972,-8.365812036575846,1.593142600367972,-1.332889711629029,0.18256799934943987,True,0 recent ranked games,alias_confirmed_ge10m,0.9127260225102604,False,False,-1.2272526223990066,-2.9960463026479913,0.5415410578499783,0.6781836045532726,-2.159082095704931,True
NA,H3_recent_volume,adjusted,6h_window,recent_games_5,0.0024700804505154725,0.24700804505154725,0.027713221139952542,-0.05184683487938557,0.056786995780416516,-5.184683487938557,5.678699578041652,0.08913003789929352,0.9289785655972086,True,0 recent ranked games,alias_confirmed_ge10m,1.0,False,False,-1.3643047627195561,-3.3109143166680024,0.5823047912288906,0.6781836045532726,1.6113128077711034,False
NA,H3_recent_volume,adjusted,6h_window,recent_games_6+,-6.554523902801511e-05,-0.006554523902801511,0.026912337740518103,-0.05281275795022155,0.05268166747216552,-5.281275795022155,5.2681667472165525,-0.002435508934971967,0.9980567469442222,True,0 recent ranked games,alias_confirmed_ge10m,1.0,False,False,-0.8922375908282121,-2.745754411801613,0.9612792301451888,0.6781836045532726,0.8856830669254105,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,-0.005332235424181944,-0.5332235424181944,0.0066113698751720466,-0.01829028226799223,0.0076258114196283405,-1.829028226799223,0.762581141962834,-0.8065250507623708,0.41994016976004783,True,session depth 1,authoritative_ge5m,1.0,False,False,-0.5905472625055115,-1.8873216084442261,0.7062270834332031,1.0,0.05732372008731712,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.004281081825801783,0.4281081825801783,0.007026290798916694,-0.0094901950849801,0.018052358736583667,-0.94901950849801,1.8052358736583667,0.6092947115798047,0.5423291118003415,True,session depth 1,authoritative_ge5m,1.0,False,False,0.33589163979517395,-1.0441508499151213,1.715934129505469,1.0,0.09221654278500435,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,-0.003400093817444895,-0.3400093817444895,0.007765535866702985,-0.01862026443683678,0.01182007680194699,-1.862026443683678,1.182007680194699,-0.43784406843367957,0.6614993230092647,True,session depth 1,authoritative_ge5m,1.0,False,False,-0.4040040353467529,-1.9272726108758103,1.1192645401823045,1.0,0.06399465360226336,True
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0009267712518130537,0.09267712518130536,0.00917657946211191,-0.017058993995196232,0.018912536498822338,-1.7058993995196232,1.8912536498822339,0.1009931048534467,0.9195559337209935,True,session depth 1,authoritative_ge5m,1.0,False,False,0.031247502774390663,-1.7678719951547552,1.8303670007035366,1.0,0.0614296224069147,True
