source,depth_bucket_num,n,wins,mean_kda,mean_damage_per_min,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
KR,3,14221,7479,3.8745190810244683,695.2625059643341,45,3,0.5259123830954222,0.5176997817295016,0.534110989036101
KR,4,9530,5144,3.85199205383839,697.1941863877457,45,4,0.539769150052466,0.5297483681473532,0.5497578836897488
KR,6,4634,2451,3.732137796931738,699.4874858639376,45,6,0.5289167026327147,0.5145268380911546,0.5432586645784746
NA,2,24760,12974,3.923021857323203,708.0243522872693,45,2,0.5239903069466882,0.5177663233616057,0.5302068476012074
EU,7,28652,15165,3.846541214056374,741.0148663378475,60,7,0.5292824235655451,0.5234993270181468,0.5350576692023737
EU,8,89092,47241,3.8265118875457866,736.5898864911594,60,8+,0.5302496295963723,0.5269711991909468,0.5335254515140272
EU,1,333986,175367,3.8897942542690256,721.9984530348738,60,1,0.5250729072476091,0.5233790426494402,0.5267661950824831
NA,3,14912,7876,3.941443890627437,714.4264115030002,60,3,0.5281652360515021,0.5201466589098953,0.5361693057186543
NA,4,9753,5108,3.9359786803379926,710.8918475023337,60,4,0.523736286270891,0.5138169388959438,0.5336369427679243
NA,6,4780,2541,4.107888046932008,719.5501256121562,60,6,0.5315899581589958,0.5174241850576685,0.5457049973367766
KR,2,22531,11772,3.889855714390285,686.7724433064849,60,2,0.5224801384758777,0.5159547458743856,0.5289978668098936
EU,4,78595,41561,3.8302062053180386,736.5133991139968,60,4,0.5287995419555951,0.5253084316058498,0.5322878371937578
EU,6,39271,20854,3.8524773232386837,739.9242662163659,60,6,0.5310279850271192,0.5260895415036393,0.535960358877376
EU,3,117310,61979,3.8413659275986194,731.5524730527516,60,3,0.5283351802915353,0.5254776816474467,0.5311908232564146
NA,7,3438,1821,3.9733987986618646,706.7899254957181,60,7,0.5296684118673648,0.5129606142217997,0.5463099833466014
NA,1,43497,22754,3.923358755824579,704.2510148682951,60,1,0.523116536772651,0.5184209107084811,0.5278080801008963
NA,8,11579,6096,3.8798299151415736,704.3375707297622,60,8+,0.5264703342257535,0.5173686789617703,0.5355544316738484
KR,5,6887,3667,3.85799315543986,695.429173588167,60,5,0.5324524466385945,0.5206537994375848,0.5442149111068746
EU,2,186530,98114,3.8755715055834337,727.2577213944589,60,2,0.5259958183670187,0.5237293267727792,0.5282612392508179
NA,5,6693,3501,3.933873338270691,706.2400492208352,60,5,0.5230838189152847,0.5111081306999525,0.5350330243356058
