source,volume_bucket_num,n,wins,mean_kda,mean_damage_per_min,window_hours,recent_games,win_rate,win_rate_ci_low,win_rate_ci_high
EU,3,75373,39595,3.861591543571731,726.3360117348643,24,3,0.525320738195375,0.5217545953560275,0.5288843001737787
EU,4,70136,37103,3.8469829549323484,730.0518398190852,24,4,0.5290150564617315,0.5253194130945678,0.5327075216025903
EU,6,458265,242394,3.88871036929066,735.1699855394527,24,6+,0.5289384962849006,0.5274930491326733,0.5303834582806795
NA,1,14316,7540,3.892246211699059,714.4147919248238,24,1,0.5266834311260129,0.5184985982260236,0.53485394776389
KR,5,7689,4060,3.832872140357334,699.003136960591,24,5,0.5280270516322019,0.5168574883419466,0.5391686240259108
KR,0,13015,6881,4.001313676330165,673.8938417981981,24,0,0.5286976565501345,0.5201145540792969,0.5372638234332339
EU,0,89720,46797,3.809565848391086,713.5998411365982,24,0,0.5215893892108783,0.5183198861162682,0.5248570436385506
EU,5,64633,34225,3.8489961681008524,729.8902194252685,24,5,0.529528259557811,0.525678643296548,0.5333743660066953
NA,2,12201,6407,3.895365784512292,708.7126193138345,24,2,0.5251208917301861,0.5162536040807143,0.533972365840179
KR,3,9356,4888,3.8255191424566855,689.5784262316031,24,3,0.5224454895254382,0.512317081825771,0.5325554731045472
KR,4,8461,4458,3.904265192232411,693.9414353629372,24,4,0.5268880746956625,0.5162398292757918,0.5375119157761928
KR,6,51558,27336,3.890236098719159,698.1367312927332,24,6+,0.5301989991853835,0.5258889013974222,0.5345045972034175
EU,2,80884,42446,3.841522824837644,724.0627785219061,24,2,0.5247762227387369,0.5213335866987112,0.5282165054747885
NA,5,7973,4188,3.9289879932563707,715.8488384244528,24,5,0.5252727956854384,0.5143022187432571,0.5362190310622492
NA,0,15284,7971,3.860860461450826,706.1544461782668,24,0,0.5215257785919917,0.5136018815732698,0.5294388578124957
KR,1,12308,6554,3.96763231158483,682.0846236512801,24,1,0.532499187520312,0.5236757680905124,0.5413023265897801
