champion_id,champion_name,appearances,win_rate,pick_rate
35,Shaco,22431,0.5104097008604164,0.02560581361899152
53,Blitzcrank,22333,0.4964850221645099,0.025493943005346957
893,Aurora,22162,0.49106578828625574,0.025298740199905936
31,Chogath,21824,0.4939057917888563,0.02491290073651959
78,Poppy,21791,0.5094304988297921,0.024875230019680096
166,Akshan,21787,0.5088355441318217,0.0248706638721844
3,Galio,21729,0.4927976437019651,0.0248044547334968
518,Neeko,21704,0.5015204570586067,0.0247759163116487
910,Hwei,21700,0.49995391705069125,0.024771350164153
16,Soraka,21485,0.5057947405166395,0.02452591973625932
161,Velkoz,21476,0.5132706276774074,0.024515645904394003
235,Senna,21348,0.5033726812816189,0.024369529184531717
68,Rumble,21010,0.5139933365064255,0.02398368972114537
38,Kassadin,20926,0.5142406575551945,0.023887800623735748
120,Hecarim,20821,0.5034340329475049,0.023767939251973718
106,Volibear,20719,0.4998793378058787,0.02365150249083346
154,Zac,20608,0.5094623447204969,0.023524791897827885
41,Gangplank,20326,0.507133720358162,0.023202878499381286
147,Seraphine,20251,0.4988889437558639,0.02311726323383698
98,Shen,20028,0.5110345516277212,0.022862700510951905
34,Anivia,19987,0.5208385450542853,0.022815897499121017
101,Xerath,19851,0.49302302151025135,0.02266064848426734
20,Nunu,19566,0.5255545333742205,0.02233531047519897
69,Cassiopeia,19268,0.507525430766037,0.021995132486769587
104,Graves,19168,0.4912353923205342,0.021880978799377178
516,Ornn,19008,0.4975273569023569,0.02169833289954932
5,XinZhao,18899,0.4894967987724218,0.021573905380291594
4,TwistedFate,18786,0.5118705418928989,0.02144491171353817
90,Malzahar,18755,0.4895227939216209,0.021409524070446523
421,RekSai,18293,0.5201989832176243,0.02088213403469359
26,Zilean,18221,0.5147906262005378,0.020799943379771053
221,Zeri,18195,0.4894751305303655,0.020770263421049026
141,Kayn,17598,0.4886918968064553,0.020088765907316338
25,Morgana,17559,0.4961558175294721,0.020044245969233297
11,MasterYi,17306,0.4926037212527447,0.0197554371401305
164,Camille,17258,0.51141499594391,0.019700643370182142
875,Sett,16460,0.4879708383961118,0.01878969694479071
79,Gragas,16380,0.4927960927960928,0.018698373994876782
45,Veigar,16367,0.5065069957841999,0.01868353401551577
85,Kennen,16272,0.522984267453294,0.01857508801249298
9,FiddleSticks,16253,0.5176890420230111,0.018553398811888423
143,Zyra,16238,0.5027096933119842,0.01853627575877956
82,Mordekaiser,15710,0.48440483768300446,0.017933544289347635
105,Fizz,15675,0.4925677830940989,0.01789359049876029
27,Singed,15618,0.5153668843641952,0.017828522896946617
115,Ziggs,15617,0.5081641800601908,0.017827381360072694
6,Urgot,15558,0.51491194240905,0.01776003068451117
62,MonkeyKing,15534,0.48313377108278616,0.017732633799536993
498,Xayah,15433,0.5103349964362082,0.017617338575270657
30,Karthus,15297,0.5093155520690331,0.01746208956041698
