champion_a_id,champion_a,champion_b_id,champion_b,games_together,pair_win_rate,appearances_a,win_rate_a,appearances_b,win_rate_b,lift,association,win_surplus_pp,pair
145,Kaisa,777,Yone,3256,0.46406633906633904,75494,0.48803878453916866,34751,0.47518057034329947,1.0872131794277546,0.12063484997789192,-1.7543338374895023,Kaisa + Yone
91,Talon,145,Kaisa,3243,0.49984582176996606,36389,0.5061694468108494,75494,0.48803878453916866,1.0341283549155809,0.04841526254619403,0.27417060949570526,Talon + Kaisa
81,Ezreal,126,Jayce,3242,0.44540407156076495,46856,0.4734505719651699,53037,0.48963930840733827,1.1428228212950153,0.19260175118776948,-3.61408686254891,Ezreal + Jayce
117,Lulu,517,Sylas,3240,0.49907407407407406,41724,0.5008388457482504,70160,0.4948973774230331,0.9695708465698519,-0.0445817749352278,0.12059624884322995,Lulu + Sylas
24,Jax,145,Kaisa,3238,0.4830142063001853,36734,0.4996733271628464,75494,0.48803878453916866,1.0228365562294957,0.03257562860629775,-1.0841849550822236,Jax + Kaisa
145,Kaisa,432,Bard,3198,0.5006253908692934,75494,0.48803878453916866,46456,0.5078784225934218,0.7987930267914596,-0.3241063563184105,0.2666787302998186,Kaisa + Bard
21,MissFortune,126,Jayce,3193,0.4973379267146884,56217,0.5084227191063202,53037,0.48963930840733827,0.9381285595777112,-0.09214245406969895,-0.16930870421408284,MissFortune + Jayce
145,Kaisa,497,Rakan,3180,0.4877358490566038,75494,0.48803878453916866,30072,0.5008978451715882,1.2270504692359818,0.29519458903264817,-0.6732465798774678,Kaisa + Rakan
21,MissFortune,54,Malphite,3177,0.4988983317595216,56217,0.5084227191063202,44701,0.49649895975481534,1.1074965078667944,0.14730214971374664,-0.35625076710461556,MissFortune + Malphite
517,Sylas,777,Yone,3177,0.4793830657853321,70160,0.4948973774230331,34751,0.47518057034329947,1.1414854586762506,0.19091248126276011,-0.5655908097834228,Sylas + Yone
266,Aatrox,517,Sylas,3172,0.4609079445145019,42502,0.48522422474236504,70160,0.4948973774230331,0.9318463033492232,-0.10183607528817946,-2.915285656819716,Aatrox + Sylas
134,Syndra,799,Ambessa,3170,0.5056782334384858,47966,0.513738898386357,53918,0.4855335880410995,1.07374718949483,0.10265435515216483,0.6041990224757599,Syndra + Ambessa
84,Akali,145,Kaisa,3157,0.4843205574912892,40501,0.4955186291696501,75494,0.48803878453916866,0.9044955906919842,-0.14481462498978298,-0.745814936312017,Akali + Kaisa
