champion_id,champion_name,team_position,appearances
69,Cassiopeia,MIDDLE,9282
69,Cassiopeia,TOP,7101
69,Cassiopeia,UTILITY,42
72,Skarner,BOTTOM,1
72,Skarner,JUNGLE,3878
72,Skarner,MIDDLE,32
72,Skarner,TOP,490
72,Skarner,UTILITY,562
74,Heimerdinger,BOTTOM,1088
74,Heimerdinger,JUNGLE,25
74,Heimerdinger,MIDDLE,1041
74,Heimerdinger,TOP,3344
74,Heimerdinger,UTILITY,605
75,Nasus,BOTTOM,30
75,Nasus,JUNGLE,1910
75,Nasus,MIDDLE,1087
75,Nasus,TOP,8430
75,Nasus,UTILITY,164
76,Nidalee,BOTTOM,25
76,Nidalee,JUNGLE,17944
76,Nidalee,MIDDLE,515
76,Nidalee,TOP,1040
76,Nidalee,UNKNOWN,1
76,Nidalee,UTILITY,4249
77,Udyr,BOTTOM,27
77,Udyr,JUNGLE,9101
77,Udyr,MIDDLE,264
77,Udyr,TOP,2650
77,Udyr,UTILITY,26
78,Poppy,BOTTOM,9
78,Poppy,JUNGLE,2317
78,Poppy,MIDDLE,180
78,Poppy,TOP,5594
78,Poppy,UNKNOWN,1
78,Poppy,UTILITY,13690
79,Gragas,BOTTOM,19
79,Gragas,JUNGLE,2158
79,Gragas,MIDDLE,1684
79,Gragas,TOP,11525
79,Gragas,UTILITY,994
80,Pantheon,BOTTOM,131
80,Pantheon,JUNGLE,4876
80,Pantheon,MIDDLE,2735
80,Pantheon,TOP,7730
80,Pantheon,UTILITY,10726
81,Ezreal,BOTTOM,45389
81,Ezreal,JUNGLE,57
81,Ezreal,MIDDLE,1047
81,Ezreal,TOP,219
81,Ezreal,UTILITY,144
82,Mordekaiser,BOTTOM,49
82,Mordekaiser,JUNGLE,1127
82,Mordekaiser,MIDDLE,526
82,Mordekaiser,TOP,13956
82,Mordekaiser,UTILITY,52
83,Yorick,BOTTOM,27
83,Yorick,JUNGLE,143
83,Yorick,MIDDLE,371
83,Yorick,TOP,9776
83,Yorick,UTILITY,27
84,Akali,BOTTOM,91
84,Akali,JUNGLE,4
84,Akali,MIDDLE,31756
84,Akali,TOP,8585
84,Akali,UNKNOWN,1
84,Akali,UTILITY,64
85,Kennen,BOTTOM,43
85,Kennen,JUNGLE,1
85,Kennen,MIDDLE,3842
85,Kennen,TOP,11941
85,Kennen,UTILITY,445
86,Garen,BOTTOM,29
86,Garen,JUNGLE,79
86,Garen,MIDDLE,1341
86,Garen,TOP,22058
86,Garen,UTILITY,22
89,Leona,BOTTOM,5
89,Leona,JUNGLE,19
89,Leona,MIDDLE,12
89,Leona,TOP,20
89,Leona,UTILITY,30423
90,Malzahar,BOTTOM,430
90,Malzahar,JUNGLE,26
90,Malzahar,MIDDLE,17060
90,Malzahar,TOP,1140
90,Malzahar,UTILITY,99
91,Talon,BOTTOM,19
91,Talon,JUNGLE,28239
91,Talon,MIDDLE,7832
91,Talon,TOP,270
91,Talon,UNKNOWN,1
91,Talon,UTILITY,28
92,Riven,BOTTOM,129
92,Riven,JUNGLE,3018
92,Riven,MIDDLE,1720
92,Riven,TOP,25014
92,Riven,UNKNOWN,1
92,Riven,UTILITY,45
96,KogMaw,BOTTOM,7370
96,KogMaw,JUNGLE,15
96,KogMaw,MIDDLE,1011
96,KogMaw,TOP,252
96,KogMaw,UTILITY,115
98,Shen,BOTTOM,38
98,Shen,JUNGLE,660
98,Shen,MIDDLE,739
98,Shen,TOP,16854
98,Shen,UNKNOWN,1
98,Shen,UTILITY,1736
99,Lux,BOTTOM,4555
99,Lux,JUNGLE,12
99,Lux,MIDDLE,10197
99,Lux,TOP,135
99,Lux,UTILITY,9844
101,Xerath,BOTTOM,1079
101,Xerath,JUNGLE,3
101,Xerath,MIDDLE,14148
101,Xerath,TOP,95
101,Xerath,UTILITY,4526
102,Shyvana,BOTTOM,3
102,Shyvana,JUNGLE,3068
102,Shyvana,MIDDLE,25
102,Shyvana,TOP,296
102,Shyvana,UTILITY,2
103,Ahri,BOTTOM,362
103,Ahri,JUNGLE,9
103,Ahri,MIDDLE,34567
103,Ahri,TOP,884
103,Ahri,UTILITY,254
104,Graves,BOTTOM,50
104,Graves,JUNGLE,18127
104,Graves,MIDDLE,331
104,Graves,TOP,639
104,Graves,UNKNOWN,2
104,Graves,UTILITY,19
105,Fizz,BOTTOM,64
105,Fizz,JUNGLE,1829
105,Fizz,MIDDLE,13219
105,Fizz,TOP,481
105,Fizz,UTILITY,82
106,Volibear,BOTTOM,10
106,Volibear,JUNGLE,10839
106,Volibear,MIDDLE,188
106,Volibear,TOP,9651
106,Volibear,UNKNOWN,1
106,Volibear,UTILITY,30
107,Rengar,BOTTOM,349
107,Rengar,JUNGLE,21843
107,Rengar,MIDDLE,10
107,Rengar,TOP,1354
107,Rengar,UNKNOWN,2
107,Rengar,UTILITY,609
110,Varus,BOTTOM,17743
110,Varus,JUNGLE,8
110,Varus,MIDDLE,1449
110,Varus,TOP,5753
110,Varus,UTILITY,85
111,Nautilus,BOTTOM,25
111,Nautilus,JUNGLE,217
111,Nautilus,MIDDLE,159
111,Nautilus,TOP,290
111,Nautilus,UNKNOWN,2
111,Nautilus,UTILITY,51232
112,Viktor,BOTTOM,1208
112,Viktor,JUNGLE,2
112,Viktor,MIDDLE,28387
112,Viktor,TOP,768
112,Viktor,UTILITY,31
113,Sejuani,BOTTOM,9
113,Sejuani,JUNGLE,4800
113,Sejuani,MIDDLE,283
113,Sejuani,TOP,3078
113,Sejuani,UTILITY,205
114,Fiora,BOTTOM,342
114,Fiora,JUNGLE,15
114,Fiora,MIDDLE,291
114,Fiora,TOP,23967
114,Fiora,UTILITY,157
115,Ziggs,BOTTOM,11455
115,Ziggs,JUNGLE,3
115,Ziggs,MIDDLE,3933
115,Ziggs,TOP,83
115,Ziggs,UTILITY,143
117,Lulu,BOTTOM,18
117,Lulu,JUNGLE,10
117,Lulu,MIDDLE,208
117,Lulu,TOP,245
117,Lulu,UNKNOWN,1
117,Lulu,UTILITY,41242
119,Draven,BOTTOM,25670
119,Draven,JUNGLE,76
119,Draven,MIDDLE,349
119,Draven,TOP,469
119,Draven,UTILITY,14
120,Hecarim,BOTTOM,1
120,Hecarim,JUNGLE,20780
120,Hecarim,MIDDLE,8
120,Hecarim,TOP,24
120,Hecarim,UNKNOWN,1
120,Hecarim,UTILITY,7
121,Khazix,BOTTOM,3
121,Khazix,JUNGLE,29072
121,Khazix,MIDDLE,48
121,Khazix,TOP,40
121,Khazix,UTILITY,37
122,Darius,BOTTOM,43
122,Darius,JUNGLE,837
122,Darius,MIDDLE,296
122,Darius,TOP,24184
122,Darius,UNKNOWN,1
122,Darius,UTILITY,58
126,Jayce,BOTTOM,87
126,Jayce,JUNGLE,25914
126,Jayce,MIDDLE,6749
126,Jayce,TOP,20245
126,Jayce,UTILITY,42
127,Lissandra,BOTTOM,65
127,Lissandra,JUNGLE,2
127,Lissandra,MIDDLE,9398
127,Lissandra,TOP,633
127,Lissandra,UTILITY,374
131,Diana,BOTTOM,51
131,Diana,JUNGLE,40812
131,Diana,MIDDLE,10468
131,Diana,TOP,407
131,Diana,UTILITY,51
