champion_id,champion_name,pca_1,pca_2,kmeans_cluster,hierarchical_cluster,dbscan_cluster
80,Pantheon,-2.40873330873497,3.2824445337343473,1,2,0
81,Ezreal,0.534681253319974,0.34615468293041585,1,2,0
82,Mordekaiser,2.6640389458888674,-2.0582812085604196,1,2,0
83,Yorick,2.5993329442299897,-1.0050536139541213,1,2,0
84,Akali,-4.212034956615597,0.38686253864344483,1,2,0
85,Kennen,3.0167945828787426,-1.774164541639364,1,2,0
86,Garen,2.057237129100952,0.29169300954079974,1,2,0
89,Leona,-0.5831692654596176,0.602794374877095,1,2,0
90,Malzahar,2.542643441084659,-0.9895957035606182,1,2,0
91,Talon,-1.623758712334892,3.612734540275125,1,2,0
92,Riven,-2.4457945001707113,4.255868812439118,1,2,0
96,KogMaw,2.60232328523982,-1.1017335980601766,1,2,0
98,Shen,2.0980107105267454,-0.6536776760819021,1,2,0
99,Lux,1.8674488930669728,-2.0657300857562064,1,2,0
101,Xerath,2.6758993634765886,-0.6723411394874174,1,2,0
103,Ahri,-0.004233165588192201,-1.7060388172882603,1,2,0
104,Graves,3.440273356183198,2.882677714259751,1,2,0
105,Fizz,2.3185469950131803,-1.058035770582412,1,2,0
106,Volibear,1.7930173913900784,-0.12945344012795906,1,2,0
107,Rengar,2.37234426299505,4.471465663007927,1,2,0
110,Varus,-0.05180748272474418,1.8862523635750736,1,2,0
111,Nautilus,-4.4755642883350415,-0.8676791992887846,1,2,-1
112,Viktor,1.0278467661247959,-1.1626033560463083,1,2,0
114,Fiora,1.873983258976992,0.4770239090238022,1,2,0
115,Ziggs,4.95819276698429,-4.225462950079705,1,2,0
117,Lulu,-1.012545526370198,-2.383651373666949,1,2,-1
119,Draven,1.7337457752704042,-0.05975851411341879,1,2,0
120,Hecarim,3.2928947802630426,2.3291218685732566,1,2,0
121,Khazix,2.6069329677160074,4.5741678824004595,1,2,0
122,Darius,1.2301308892157452,0.9874561902566412,1,2,0
126,Jayce,-16.965030530684995,15.981644736562934,2,1,-1
127,Lissandra,2.7364206086590825,-1.008305197408418,1,2,0
131,Diana,-18.134224138987882,-14.333998612029173,2,1,-1
133,Quinn,2.4132762752692702,-0.7737972151925179,1,2,0
134,Syndra,-3.5128573013933933,-5.991409853652004,1,2,-1
136,AurelionSol,2.4605685362107064,-0.7429500060803655,1,2,0
141,Kayn,2.657507874992796,0.4516522756922242,1,2,0
142,Zoe,2.0998911475941457,-0.4699577980091063,1,2,0
143,Zyra,2.018761238014647,-2.486894893185299,1,2,0
145,Kaisa,-1.3534632117989356,-3.880348293992495,1,2,-1
147,Seraphine,2.802732113785029,-2.192175958103279,1,2,0
