source,volume_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,window_hours,recent_games,win_rate,win_rate_ci_low,win_rate_ci_high
EU,2,128723,67901,3.844356390607825,2.5,730.3569552246494,6.163157593778469,421.9105206386646,6,2,0.5274970285030647,0.5247689523843214,0.530223463492398
NA,5,7407,3880,4.094761462343973,2.5714285714285716,716.32070592537,6.12997828034464,417.1436238589156,6,5,0.5238288105845822,0.5124456636539771,0.5351872538711773
NA,0,31568,16545,3.9278466307577835,2.5,704.8865267390929,6.0270837178342385,410.71835142857196,6,0,0.5241066903193107,0.5185948830683876,0.529612631275847
KR,1,20445,10729,3.8845204469918913,2.5555555555555554,687.1892646528584,5.987297478862927,409.15197190645335,6,1,0.5247737833211054,0.5179244974709625,0.5316137613120571
EU,1,168242,88454,3.8620935508806404,2.5,725.3963322820697,6.116705179891912,419.6740485469217,6,1,0.5257545678249189,0.5233679874710667,0.5281399721008261
NA,3,12265,6470,3.9208371691571458,2.5,709.1531428035038,6.056495738235232,414.11854846059526,6,3,0.5275173257236038,0.5186747010438684,0.5363427186746583
NA,4,9440,4968,3.8940821990786127,2.5,708.3154629474861,6.065058309995666,414.4327835346265,6,4,0.5262711864406779,0.5161901704687654,0.536330829821506
NA,6,19473,10242,3.9417520319800987,2.5,701.1509466680092,6.07804107354489,414.6993536109571,6,6+,0.5259590201817902,0.5189414007888693,0.532966399669307
KR,2,15562,8217,3.8984001609761103,2.5,690.0022476380536,5.985088914111508,409.9362168510371,6,2,0.5280169644004626,0.5201676483266342,0.5358524519876899
EU,3,101264,53534,3.868876681971565,2.5,734.006617895688,6.180411335903901,423.6225004884455,6,3,0.5286577658397851,0.5255822259616694,0.5317311315306015
EU,4,80181,42541,3.8606706235595345,2.5,738.6458807188804,6.203522392175351,424.9680920868148,6,4,0.5305621032414163,0.5271063460355294,0.5340149321366914
EU,6,161556,85440,3.836751393439658,2.5,737.7296229386922,6.2093872739500915,426.7409580592407,6,6+,0.5288568669687291,0.5264221453423815,0.5312902163175955
NA,1,22429,11759,3.9315958514922755,2.5454545454545454,711.4689237968227,6.033904746553968,412.36750885725917,6,1,0.5242766061794998,0.517737179072672,0.5308077189064381
KR,0,27724,14671,4.005793720165183,2.625,680.3891770142684,5.948162516444539,407.45336338909146,6,0,0.5291804934352907,0.5233012961113956,0.5350516053361596
KR,5,7431,3831,3.7367225455641835,2.5,696.0914061404915,6.054400557018889,411.3889681926737,6,5,0.5155429955591442,0.5041751196751605,0.5268948098289774
EU,0,224618,118031,3.897549928963804,2.5,718.1502932389897,6.074572744951826,417.4462356074287,6,0,0.5254743609149757,0.5234088888339252,0.527538961676409
EU,5,63775,33738,3.8712042493345673,2.5,737.2216746470608,6.212306501744765,425.52744689105253,6,5,0.529016072128577,0.5251404343345238,0.5328882145927161
