source,depth_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,history_scope,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
KR,5,6887,3667,3.85799315543986,2.5,695.429173588167,5.99819376141076,411.7497467566567,ranked_420_plus_440,60,5,0.5324524466385945,0.5206537994375848,0.5442149111068746
EU,1,333986,175367,3.8897942542690442,2.5,721.9984530348752,6.0914353220585555,418.61763258473843,ranked_420_plus_440,60,1,0.5250729072476091,0.5233790426494402,0.5267661950824831
EU,7,28652,15165,3.846541214056369,2.5,741.0148663378471,6.25418007638307,427.235607895763,ranked_420_plus_440,60,7,0.5292824235655451,0.5234993270181468,0.5350576692023737
EU,8,89092,47241,3.826511887545783,2.5,736.5898864911601,6.188591451988177,426.963205712547,ranked_420_plus_440,60,8+,0.5302496295963723,0.5269711991909468,0.5335254515140272
NA,3,14912,7876,3.941443890627437,2.5454545454545454,714.4264115030002,6.0509679443855875,413.7522488641756,ranked_420_plus_440,60,3,0.5281652360515021,0.5201466589098953,0.5361693057186543
NA,4,9753,5108,3.9359786803379926,2.5,710.8918475023337,6.061241621949901,414.3703701226769,ranked_420_plus_440,60,4,0.523736286270891,0.5138169388959438,0.5336369427679243
NA,6,4780,2541,4.107888046932008,2.6,719.5501256121562,6.134358094675506,418.38185618223815,ranked_420_plus_440,60,6,0.5315899581589958,0.5174241850576685,0.5457049973367766
KR,2,22531,11772,3.8898557143902854,2.5,686.7724433064849,5.996682885580094,409.16402909269965,ranked_420_plus_440,60,2,0.5224801384758777,0.5159547458743856,0.5289978668098936
NA,2,23526,12320,3.92006596840114,2.5,709.0744476141671,6.024947710819433,412.04841294366787,ranked_420_plus_440,90,2,0.5236759330102865,0.5172905902275248,0.5300535451738803
EU,5,59020,31546,3.8554174981299676,2.5,740.0508855910667,6.223985194367426,425.9188993023853,ranked_420_plus_440,90,5,0.5344967807522873,0.5304704397647364,0.5385186314200139
KR,3,14467,7616,3.8634078248177075,2.5454545454545454,692.9227171487196,6.0005305731997955,410.7290749332952,ranked_420_plus_440,90,3,0.5264394829612221,0.5182973561515603,0.5345675724137164
KR,4,10133,5431,3.9001567227927194,2.5555555555555554,698.0947376241143,6.022123963269447,412.42529614325326,ranked_420_plus_440,90,4,0.5359715780124347,0.5262497093675435,0.5456661830691142
KR,6,5281,2780,3.759595575957089,2.5,699.3544964497526,6.057167935181292,413.3215889551094,ranked_420_plus_440,90,6,0.5264154516190116,0.5129346833673283,0.5398578180111822
NA,5,7168,3721,3.9423061268110664,2.5,704.1099941984024,6.070430994680989,414.8930758353239,ranked_420_plus_440,90,5,0.5191127232142857,0.5075390897905299,0.5306658819134953
EU,2,179433,94347,3.870378304205602,2.5,726.7069812454749,6.135794186686927,420.4995782750896,ranked_420_plus_440,90,2,0.5258062898129107,0.5234953591388135,0.5281161155433539
KR,1,36258,19154,3.9739334744602175,2.6,683.0478030077472,5.960570266002316,408.1361440615505,ranked_420_plus_440,90,1,0.5282696232555574,0.5231285825824423,0.5334046743490348
KR,7,3925,2090,3.8739348226176906,2.5,698.801815612163,6.082171994303254,414.1862524664621,ranked_420_plus_440,90,7,0.532484076433121,0.5168507465970031,0.5480538830941482
KR,8,13899,7411,3.871767119956635,2.5555555555555554,702.4652052707828,6.1019226041654955,416.2380836831098,ranked_420_plus_440,90,8+,0.5332038276134974,0.5249017452146626,0.5414875610817421
NA,1,40121,20971,3.9194033251067415,2.5,704.7397593110825,6.0344236440158046,410.94864406453644,ranked_420_plus_440,90,1,0.5226938511004212,0.5178044383006556,0.5275789185873424
NA,7,3846,2017,3.89271600182402,2.5,703.0088646745183,6.101305871440718,414.745622377408,ranked_420_plus_440,90,7,0.5244409776391056,0.5086412868868289,0.540191892871589
NA,8,13952,7362,3.94104384548365,2.5,703.8599712327182,6.110090500335342,415.78829538104696,ranked_420_plus_440,90,8+,0.5276662844036697,0.5193759218159916,0.535941416251937
EU,3,117550,62113,3.8480130291497345,2.5,730.9687840206736,6.174325623011274,422.54997025438024,ranked_420_plus_440,90,3,0.5283964270523182,0.5255418656980465,0.5312491325130891
EU,4,81641,43202,3.844444023889569,2.5,735.5170853393699,6.195955315967452,424.39050914635135,ranked_420_plus_440,90,4,0.5291703923273845,0.5257451803042372,0.5325928593672871
